fold,trial,accuracy,learning_rate,lambda_reg,temperature,threshold,features,cost
0,0,0.47751322388648987,0.019006758789747998,6.0940691723106125e-09,65.02996891178958,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",0.1338
0,0,0.44047619047619047,0.019006758789747998,6.0940691723106125e-09,65.02996891178958,0.01,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",0.13180000000000003
0,0,0.44047619047619047,0.019006758789747998,6.0940691723106125e-09,65.02996891178958,0.05,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",0.13180000000000003
0,0,0.44047619047619047,0.019006758789747998,6.0940691723106125e-09,65.02996891178958,0.1,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 23]",0.10800000000000001
0,0,0.44047619047619047,0.019006758789747998,6.0940691723106125e-09,65.02996891178958,0.2,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 23]",0.10600000000000001
0,0,0.44047619047619047,0.019006758789747998,6.0940691723106125e-09,65.02996891178958,0.5,"[0, 1, 3, 8, 11, 15, 16, 17, 19]",0.04359999999999999
0,1,0.44841268658638,0.0013554432951750925,9.680642362310466e-05,21.82626819790627,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",0.1338
0,1,0.4365079365079365,0.0013554432951750925,9.680642362310466e-05,21.82626819790627,0.01,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",0.1338
0,1,0.43915343915343913,0.0013554432951750925,9.680642362310466e-05,21.82626819790627,0.05,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",0.1338
0,1,0.44047619047619047,0.0013554432951750925,9.680642362310466e-05,21.82626819790627,0.1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23]",0.12390000000000002
0,1,0.4365079365079365,0.0013554432951750925,9.680642362310466e-05,21.82626819790627,0.2,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23]",0.11200000000000002
0,1,0.4365079365079365,0.0013554432951750925,9.680642362310466e-05,21.82626819790627,0.5,"[0, 1, 2, 3, 5, 8, 9, 12, 19, 20, 21, 22]",0.0526
0,2,0.44576719403266907,0.016545572094973256,1.2752358971610919e-08,40.01835722040013,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",0.1338
0,2,0.44047619047619047,0.016545572094973256,1.2752358971610919e-08,40.01835722040013,0.01,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",0.1338
0,2,0.44047619047619047,0.016545572094973256,1.2752358971610919e-08,40.01835722040013,0.05,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23]",0.12190000000000002
0,2,0.44047619047619047,0.016545572094973256,1.2752358971610919e-08,40.01835722040013,0.1,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23]",0.12190000000000002
0,2,0.44047619047619047,0.016545572094973256,1.2752358971610919e-08,40.01835722040013,0.2,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 11, 12, 13, 14, 16, 17, 19, 20, 21, 23]",0.0937
0,2,0.44047619047619047,0.016545572094973256,1.2752358971610919e-08,40.01835722040013,0.5,"[0, 1, 2, 3, 8, 9, 11, 12, 13, 14, 17, 19, 20, 21]",0.063
