fs_method,num_features,total_cost,sparsity,precision,accuracy
DISR,5,0.0,0.0,32,0.43741586804389954
DISR,5,0.0,0.2,32,0.4360699951648712
DISR,5,0.0,0.2,4,0.4320322871208191
DISR,5,0.0,0.2,6,0.4320322871208191
DISR,5,0.0,0.2,8,0.4320322871208191
DISR,5,0.0,0.2,10,0.4320322871208191
DISR,5,0.0,0.5,32,0.4320322871208191
DISR,5,0.0,0.5,4,0.4253028333187103
DISR,5,0.0,0.5,6,0.4253028333187103
DISR,5,0.0,0.5,8,0.4253028333187103
DISR,5,0.0,0.5,10,0.4253028333187103
DISR,5,0.0,0.9,32,0.42934051156044006
DISR,5,0.0,0.9,4,0.42934051156044006
DISR,5,0.0,0.9,6,0.42934051156044006
DISR,5,0.0,0.9,8,0.42934051156044006
DISR,5,0.0,0.9,10,0.42934051156044006
Fisher,5,0.0,0.0,32,0.42934051156044006
Fisher,5,0.0,0.2,32,0.42934051156044006
Fisher,5,0.0,0.2,4,0.42934051156044006
Fisher,5,0.0,0.2,6,0.42934051156044006
Fisher,5,0.0,0.2,8,0.42934051156044006
Fisher,5,0.0,0.2,10,0.42934051156044006
Fisher,5,0.0,0.5,32,0.42934051156044006
Fisher,5,0.0,0.5,4,0.42934051156044006
Fisher,5,0.0,0.5,6,0.42934051156044006
Fisher,5,0.0,0.5,8,0.42934051156044006
Fisher,5,0.0,0.5,10,0.42934051156044006
Fisher,5,0.0,0.9,32,0.42934051156044006
Fisher,5,0.0,0.9,4,0.42934051156044006
Fisher,5,0.0,0.9,6,0.42934051156044006
Fisher,5,0.0,0.9,8,0.42934051156044006
Fisher,5,0.0,0.9,10,0.42934051156044006
JMI,5,0.0,0.0,32,0.4468371570110321
JMI,5,0.0,0.2,32,0.4589501917362213
JMI,5,0.0,0.2,4,0.4589501917362213
JMI,5,0.0,0.2,6,0.460296094417572
JMI,5,0.0,0.2,8,0.460296094417572
JMI,5,0.0,0.2,10,0.460296094417572
JMI,5,0.0,0.5,32,0.457604318857193
