fs_method,num_features,total_cost,sparsity,precision,accuracy
DISR,5,0.019549999999999998,0.0,32,0.43741586804389954
DISR,5,0.019549999999999998,0.2,32,0.49932706356048584
DISR,5,0.019549999999999998,0.2,4,0.5262449383735657
DISR,5,0.019549999999999998,0.2,6,0.5248990654945374
DISR,5,0.019549999999999998,0.2,8,0.5248990654945374
DISR,5,0.019549999999999998,0.2,10,0.5248990654945374
DISR,5,0.019549999999999998,0.5,32,0.49932706356048584
DISR,5,0.019549999999999998,0.5,4,0.523553192615509
DISR,5,0.019549999999999998,0.5,6,0.5248990654945374
DISR,5,0.019549999999999998,0.5,8,0.5248990654945374
DISR,5,0.019549999999999998,0.5,10,0.5248990654945374
DISR,5,0.019549999999999998,0.9,32,0.42934051156044006
DISR,5,0.019549999999999998,0.9,4,0.42934051156044006
DISR,5,0.019549999999999998,0.9,6,0.42934051156044006
DISR,5,0.019549999999999998,0.9,8,0.42934051156044006
DISR,5,0.019549999999999998,0.9,10,0.42934051156044006
Fisher,5,0.024,0.0,32,0.4253028333187103
Fisher,5,0.024,0.2,32,0.4253028333187103
Fisher,5,0.024,0.2,4,0.4253028333187103
Fisher,5,0.024,0.2,6,0.41588157415390015
Fisher,5,0.024,0.2,8,0.41588157415390015
Fisher,5,0.024,0.2,10,0.41588157415390015
Fisher,5,0.024,0.5,32,0.4253028333187103
Fisher,5,0.024,0.5,4,0.3876177668571472
Fisher,5,0.024,0.5,6,0.3876177668571472
Fisher,5,0.024,0.5,8,0.3876177668571472
Fisher,5,0.024,0.5,10,0.3876177668571472
Fisher,5,0.024,0.9,32,0.4253028333187103
Fisher,5,0.024,0.9,4,0.41588157415390015
Fisher,5,0.024,0.9,6,0.3876177668571472
Fisher,5,0.024,0.9,8,0.3876177668571472
Fisher,5,0.024,0.9,10,0.3876177668571472
JMI,5,0.01955,0.0,32,0.42799460887908936
JMI,5,0.01955,0.2,32,0.42799460887908936
JMI,5,0.01955,0.2,4,0.4253028333187103
JMI,5,0.01955,0.2,6,0.4253028333187103
JMI,5,0.01955,0.2,8,0.4253028333187103
JMI,5,0.01955,0.2,10,0.4253028333187103
JMI,5,0.01955,0.5,32,0.4239569306373596
JMI,5,0.01955,0.5,4,0.43068641424179077
JMI,5,0.01955,0.5,6,0.43068641424179077
JMI,5,0.01955,0.5,8,0.43068641424179077
JMI,5,0.01955,0.5,10,0.43068641424179077
JMI,5,0.01955,0.9,32,0.42934051156044006
JMI,5,0.01955,0.9,4,0.42934051156044006
JMI,5,0.01955,0.9,6,0.42934051156044006
JMI,5,0.01955,0.9,8,0.42934051156044006
JMI,5,0.01955,0.9,10,0.42934051156044006
DISR,10,0.0347,0.0,32,0.4952893555164337
DISR,10,0.0347,0.2,32,0.5168237090110779
DISR,10,0.0347,0.2,4,0.5087482929229736
DISR,10,0.0347,0.2,6,0.5087482929229736
DISR,10,0.0347,0.2,8,0.5087482929229736
DISR,10,0.0347,0.2,10,0.5087482929229736
DISR,10,0.0347,0.5,32,0.4239569306373596
DISR,10,0.0347,0.5,4,0.5154777765274048
DISR,10,0.0347,0.5,6,0.5127860307693481
DISR,10,0.0347,0.5,8,0.5127860307693481
DISR,10,0.0347,0.5,10,0.5127860307693481
DISR,10,0.0347,0.9,32,0.4333781898021698
DISR,10,0.0347,0.9,4,0.4333781898021698
DISR,10,0.0347,0.9,6,0.4333781898021698
DISR,10,0.0347,0.9,8,0.4333781898021698
DISR,10,0.0347,0.9,10,0.4333781898021698
Fisher,10,0.039150000000000004,0.0,32,0.4333781898021698
Fisher,10,0.039150000000000004,0.2,32,0.4347240924835205
Fisher,10,0.039150000000000004,0.2,4,0.42934051156044006
Fisher,10,0.039150000000000004,0.2,6,0.42934051156044006
Fisher,10,0.039150000000000004,0.2,8,0.42934051156044006
Fisher,10,0.039150000000000004,0.2,10,0.42934051156044006
Fisher,10,0.039150000000000004,0.5,32,0.4333781898021698
Fisher,10,0.039150000000000004,0.5,4,0.4333781898021698
Fisher,10,0.039150000000000004,0.5,6,0.4347240924835205
Fisher,10,0.039150000000000004,0.5,8,0.4347240924835205
Fisher,10,0.039150000000000004,0.5,10,0.4347240924835205
Fisher,10,0.039150000000000004,0.9,32,0.43068641424179077
Fisher,10,0.039150000000000004,0.9,4,0.43068641424179077
Fisher,10,0.039150000000000004,0.9,6,0.43068641424179077
Fisher,10,0.039150000000000004,0.9,8,0.43068641424179077
Fisher,10,0.039150000000000004,0.9,10,0.43068641424179077
JMI,10,0.0347,0.0,32,0.42799460887908936
JMI,10,0.0347,0.2,32,0.42934051156044006
JMI,10,0.0347,0.2,4,0.42934051156044006
JMI,10,0.0347,0.2,6,0.42934051156044006
JMI,10,0.0347,0.2,8,0.42934051156044006
JMI,10,0.0347,0.2,10,0.42934051156044006
JMI,10,0.0347,0.5,32,0.4253028333187103
JMI,10,0.0347,0.5,4,0.5006729364395142
JMI,10,0.0347,0.5,6,0.5047106146812439
JMI,10,0.0347,0.5,8,0.5047106146812439
JMI,10,0.0347,0.5,10,0.5047106146812439
JMI,10,0.0347,0.9,32,0.4333781898021698
JMI,10,0.0347,0.9,4,0.4333781898021698
JMI,10,0.0347,0.9,6,0.4333781898021698
JMI,10,0.0347,0.9,8,0.4333781898021698
JMI,10,0.0347,0.9,10,0.4333781898021698
DISR,15,0.052800000000000014,0.0,32,0.43876177072525024
DISR,15,0.052800000000000014,0.2,32,0.4347240924835205
DISR,15,0.052800000000000014,0.2,4,0.4347240924835205
DISR,15,0.052800000000000014,0.2,6,0.4347240924835205
DISR,15,0.052800000000000014,0.2,8,0.4347240924835205
DISR,15,0.052800000000000014,0.2,10,0.4347240924835205
DISR,15,0.052800000000000014,0.5,32,0.43741586804389954
DISR,15,0.052800000000000014,0.5,4,0.41453567147254944
DISR,15,0.052800000000000014,0.5,6,0.41588157415390015
DISR,15,0.052800000000000014,0.5,8,0.41588157415390015
DISR,15,0.052800000000000014,0.5,10,0.41588157415390015
DISR,15,0.052800000000000014,0.9,32,0.4333781898021698
DISR,15,0.052800000000000014,0.9,4,0.4333781898021698
DISR,15,0.052800000000000014,0.9,6,0.4333781898021698
DISR,15,0.052800000000000014,0.9,8,0.4333781898021698
DISR,15,0.052800000000000014,0.9,10,0.4333781898021698
Fisher,15,0.051350000000000014,0.0,32,0.42934051156044006
Fisher,15,0.051350000000000014,0.2,32,0.42934051156044006
Fisher,15,0.051350000000000014,0.2,4,0.42664873600006104
Fisher,15,0.051350000000000014,0.2,6,0.42664873600006104
Fisher,15,0.051350000000000014,0.2,8,0.42664873600006104
Fisher,15,0.051350000000000014,0.2,10,0.42664873600006104
Fisher,15,0.051350000000000014,0.5,32,0.42934051156044006
Fisher,15,0.051350000000000014,0.5,4,0.43068641424179077
Fisher,15,0.051350000000000014,0.5,6,0.4320322871208191
Fisher,15,0.051350000000000014,0.5,8,0.4320322871208191
Fisher,15,0.051350000000000014,0.5,10,0.4320322871208191
Fisher,15,0.051350000000000014,0.9,32,0.4333781898021698
Fisher,15,0.051350000000000014,0.9,4,0.4333781898021698
Fisher,15,0.051350000000000014,0.9,6,0.4333781898021698
Fisher,15,0.051350000000000014,0.9,8,0.4333781898021698
Fisher,15,0.051350000000000014,0.9,10,0.4333781898021698
JMI,15,0.052800000000000014,0.0,32,0.4333781898021698
JMI,15,0.052800000000000014,0.2,32,0.4333781898021698
JMI,15,0.052800000000000014,0.2,4,0.4360699951648712
JMI,15,0.052800000000000014,0.2,6,0.4360699951648712
