fs_method,num_features,total_cost,sparsity,precision,accuracy
DISR,5,0.0,0.0,32,0.42145270109176636
DISR,5,0.0,0.2,32,0.42179054021835327
DISR,5,0.0,0.2,4,0.42145270109176636
DISR,5,0.0,0.2,6,0.42145270109176636
DISR,5,0.0,0.2,8,0.42145270109176636
DISR,5,0.0,0.2,10,0.42145270109176636
DISR,5,0.0,0.5,32,0.4216216206550598
DISR,5,0.0,0.5,4,0.6141892075538635
DISR,5,0.0,0.5,6,0.6138513684272766
DISR,5,0.0,0.5,8,0.6138513684272766
DISR,5,0.0,0.5,10,0.6138513684272766
DISR,5,0.0,0.9,32,0.42145270109176636
DISR,5,0.0,0.9,4,0.4206081032752991
DISR,5,0.0,0.9,6,0.42145270109176636
DISR,5,0.0,0.9,8,0.42145270109176636
DISR,5,0.0,0.9,10,0.42145270109176636
Fisher,5,0.0,0.0,32,0.4130067527294159
Fisher,5,0.0,0.2,32,0.4130067527294159
Fisher,5,0.0,0.2,4,0.4130067527294159
Fisher,5,0.0,0.2,6,0.4130067527294159
Fisher,5,0.0,0.2,8,0.4130067527294159
Fisher,5,0.0,0.2,10,0.4130067527294159
Fisher,5,0.0,0.5,32,0.4130067527294159
Fisher,5,0.0,0.5,4,0.4130067527294159
Fisher,5,0.0,0.5,6,0.4130067527294159
Fisher,5,0.0,0.5,8,0.4130067527294159
Fisher,5,0.0,0.5,10,0.4130067527294159
Fisher,5,0.0,0.9,32,0.4130067527294159
Fisher,5,0.0,0.9,4,0.4130067527294159
Fisher,5,0.0,0.9,6,0.4130067527294159
Fisher,5,0.0,0.9,8,0.4130067527294159
Fisher,5,0.0,0.9,10,0.4130067527294159
JMI,5,0.0,0.0,32,0.4136824309825897
JMI,5,0.0,0.2,32,0.4138513505458832
JMI,5,0.0,0.2,4,0.414527028799057
JMI,5,0.0,0.2,6,0.414527028799057
JMI,5,0.0,0.2,8,0.414527028799057
JMI,5,0.0,0.2,10,0.414527028799057
JMI,5,0.0,0.5,32,0.4136824309825897
JMI,5,0.0,0.5,4,0.41351351141929626
JMI,5,0.0,0.5,6,0.41351351141929626
JMI,5,0.0,0.5,8,0.41351351141929626
JMI,5,0.0,0.5,10,0.41351351141929626
JMI,5,0.0,0.9,32,0.412668913602829
JMI,5,0.0,0.9,4,0.412668913602829
JMI,5,0.0,0.9,6,0.412668913602829
JMI,5,0.0,0.9,8,0.412668913602829
JMI,5,0.0,0.9,10,0.412668913602829
DISR,10,0.0,0.0,32,0.7244932651519775
DISR,10,0.0,0.2,32,0.7244932651519775
DISR,10,0.0,0.2,4,0.724662184715271
DISR,10,0.0,0.2,6,0.7244932651519775
DISR,10,0.0,0.2,8,0.7244932651519775
DISR,10,0.0,0.2,10,0.7244932651519775
DISR,10,0.0,0.5,32,0.724662184715271
DISR,10,0.0,0.5,4,0.7244932651519775
DISR,10,0.0,0.5,6,0.7244932651519775
DISR,10,0.0,0.5,8,0.7244932651519775
DISR,10,0.0,0.5,10,0.7244932651519775
DISR,10,0.0,0.9,32,0.724662184715271
DISR,10,0.0,0.9,4,0.7244932651519775
DISR,10,0.0,0.9,6,0.7244932651519775
DISR,10,0.0,0.9,8,0.7244932651519775
DISR,10,0.0,0.9,10,0.7244932651519775
Fisher,10,0.0,0.0,32,0.4130067527294159
Fisher,10,0.0,0.2,32,0.4130067527294159
Fisher,10,0.0,0.2,4,0.4130067527294159
Fisher,10,0.0,0.2,6,0.4130067527294159
Fisher,10,0.0,0.2,8,0.4130067527294159
Fisher,10,0.0,0.2,10,0.4130067527294159
Fisher,10,0.0,0.5,32,0.4130067527294159
Fisher,10,0.0,0.5,4,0.4130067527294159
Fisher,10,0.0,0.5,6,0.4130067527294159
Fisher,10,0.0,0.5,8,0.4130067527294159
Fisher,10,0.0,0.5,10,0.4130067527294159
Fisher,10,0.0,0.9,32,0.4130067527294159
Fisher,10,0.0,0.9,4,0.4130067527294159
Fisher,10,0.0,0.9,6,0.4130067527294159
Fisher,10,0.0,0.9,8,0.4130067527294159
Fisher,10,0.0,0.9,10,0.4130067527294159
JMI,10,0.0,0.0,32,0.4141891896724701
JMI,10,0.0,0.2,32,0.4160473048686981
JMI,10,0.0,0.2,4,0.4141891896724701
JMI,10,0.0,0.2,6,0.4141891896724701
JMI,10,0.0,0.2,8,0.4141891896724701
JMI,10,0.0,0.2,10,0.4141891896724701
JMI,10,0.0,0.5,32,0.4162162244319916
JMI,10,0.0,0.5,4,0.4141891896724701
JMI,10,0.0,0.5,6,0.4141891896724701
JMI,10,0.0,0.5,8,0.4141891896724701
JMI,10,0.0,0.5,10,0.4141891896724701
JMI,10,0.0,0.9,32,0.41402027010917664
JMI,10,0.0,0.9,4,0.41351351141929626
JMI,10,0.0,0.9,6,0.4133445918560028
JMI,10,0.0,0.9,8,0.4133445918560028
JMI,10,0.0,0.9,10,0.4133445918560028
DISR,15,0.0,0.0,32,0.7239865064620972
DISR,15,0.0,0.2,32,0.7248311042785645
DISR,15,0.0,0.2,4,0.6452702879905701
DISR,15,0.0,0.2,6,0.6929054260253906
DISR,15,0.0,0.2,8,0.6929054260253906
DISR,15,0.0,0.2,10,0.6929054260253906
DISR,15,0.0,0.5,32,0.7258446216583252
DISR,15,0.0,0.5,4,0.6937500238418579
DISR,15,0.0,0.5,6,0.6937500238418579
DISR,15,0.0,0.5,8,0.6937500238418579
DISR,15,0.0,0.5,10,0.6937500238418579
DISR,15,0.0,0.9,32,0.7266891598701477
DISR,15,0.0,0.9,4,0.4189189076423645
DISR,15,0.0,0.9,6,0.4185810685157776
DISR,15,0.0,0.9,8,0.4185810685157776
DISR,15,0.0,0.9,10,0.4185810685157776
Fisher,15,0.0,0.0,32,0.7050675749778748
Fisher,15,0.0,0.2,32,0.7050675749778748
Fisher,15,0.0,0.2,4,0.7050675749778748
Fisher,15,0.0,0.2,6,0.7050675749778748
Fisher,15,0.0,0.2,8,0.7050675749778748
Fisher,15,0.0,0.2,10,0.7050675749778748
Fisher,15,0.0,0.5,32,0.7050675749778748
Fisher,15,0.0,0.5,4,0.4130067527294159
Fisher,15,0.0,0.5,6,0.4130067527294159
Fisher,15,0.0,0.5,8,0.4130067527294159
Fisher,15,0.0,0.5,10,0.4130067527294159
Fisher,15,0.0,0.9,32,0.7050675749778748
Fisher,15,0.0,0.9,4,0.4130067527294159
Fisher,15,0.0,0.9,6,0.4130067527294159
Fisher,15,0.0,0.9,8,0.4130067527294159
Fisher,15,0.0,0.9,10,0.4130067527294159
JMI,15,0.0,0.0,32,0.7248311042785645
JMI,15,0.0,0.2,32,0.7256757020950317
JMI,15,0.0,0.2,4,0.6285473108291626
JMI,15,0.0,0.2,6,0.6283783912658691
JMI,15,0.0,0.2,8,0.6283783912658691
JMI,15,0.0,0.2,10,0.6283783912658691
JMI,15,0.0,0.5,32,0.7256757020950317
JMI,15,0.0,0.5,4,0.5304054021835327
JMI,15,0.0,0.5,6,0.5310810804367065
JMI,15,0.0,0.5,8,0.5310810804367065
JMI,15,0.0,0.5,10,0.5310810804367065
JMI,15,0.0,0.9,32,0.722804069519043
