fs_method,num_features,total_cost,sparsity,precision,accuracy
DISR,5,0.018099999999999998,0.0,32,0.5650337934494019
DISR,5,0.018099999999999998,0.2,32,0.5386824607849121
DISR,5,0.018099999999999998,0.2,4,0.5650337934494019
DISR,5,0.018099999999999998,0.2,6,0.5650337934494019
DISR,5,0.018099999999999998,0.2,8,0.5650337934494019
DISR,5,0.018099999999999998,0.2,10,0.5650337934494019
DISR,5,0.018099999999999998,0.5,32,0.5341216325759888
DISR,5,0.018099999999999998,0.5,4,0.5334459543228149
DISR,5,0.018099999999999998,0.5,6,0.5334459543228149
DISR,5,0.018099999999999998,0.5,8,0.5334459543228149
DISR,5,0.018099999999999998,0.5,10,0.5334459543228149
DISR,5,0.018099999999999998,0.9,32,0.5339527130126953
DISR,5,0.018099999999999998,0.9,4,0.5341216325759888
DISR,5,0.018099999999999998,0.9,6,0.5339527130126953
DISR,5,0.018099999999999998,0.9,8,0.5339527130126953
DISR,5,0.018099999999999998,0.9,10,0.5339527130126953
Fisher,5,0.02475,0.0,32,0.4130067527294159
Fisher,5,0.02475,0.2,32,0.4130067527294159
Fisher,5,0.02475,0.2,4,0.4130067527294159
Fisher,5,0.02475,0.2,6,0.4130067527294159
Fisher,5,0.02475,0.2,8,0.4130067527294159
Fisher,5,0.02475,0.2,10,0.4130067527294159
Fisher,5,0.02475,0.5,32,0.4130067527294159
Fisher,5,0.02475,0.5,4,0.4130067527294159
Fisher,5,0.02475,0.5,6,0.4130067527294159
Fisher,5,0.02475,0.5,8,0.4130067527294159
Fisher,5,0.02475,0.5,10,0.4130067527294159
Fisher,5,0.02475,0.9,32,0.4130067527294159
Fisher,5,0.02475,0.9,4,0.4130067527294159
Fisher,5,0.02475,0.9,6,0.4130067527294159
Fisher,5,0.02475,0.9,8,0.4130067527294159
Fisher,5,0.02475,0.9,10,0.4130067527294159
JMI,5,0.02105,0.0,32,0.4130067527294159
JMI,5,0.02105,0.2,32,0.4130067527294159
JMI,5,0.02105,0.2,4,0.4130067527294159
JMI,5,0.02105,0.2,6,0.4130067527294159
JMI,5,0.02105,0.2,8,0.4130067527294159
JMI,5,0.02105,0.2,10,0.4130067527294159
JMI,5,0.02105,0.5,32,0.4130067527294159
JMI,5,0.02105,0.5,4,0.5520270466804504
JMI,5,0.02105,0.5,6,0.5516892075538635
JMI,5,0.02105,0.5,8,0.5516892075538635
JMI,5,0.02105,0.5,10,0.5516892075538635
JMI,5,0.02105,0.9,32,0.4130067527294159
JMI,5,0.02105,0.9,4,0.5516892075538635
JMI,5,0.02105,0.9,6,0.5516892075538635
JMI,5,0.02105,0.9,8,0.5516892075538635
JMI,5,0.02105,0.9,10,0.5516892075538635
DISR,10,0.039150000000000004,0.0,32,0.566554069519043
DISR,10,0.039150000000000004,0.2,32,0.5658783912658691
DISR,10,0.039150000000000004,0.2,4,0.5528716444969177
DISR,10,0.039150000000000004,0.2,6,0.5523648858070374
DISR,10,0.039150000000000004,0.2,8,0.5523648858070374
DISR,10,0.039150000000000004,0.2,10,0.5523648858070374
DISR,10,0.039150000000000004,0.5,32,0.5385135412216187
DISR,10,0.039150000000000004,0.5,4,0.5364865064620972
DISR,10,0.039150000000000004,0.5,6,0.5364865064620972
DISR,10,0.039150000000000004,0.5,8,0.5364865064620972
DISR,10,0.039150000000000004,0.5,10,0.5364865064620972
DISR,10,0.039150000000000004,0.9,32,0.5341216325759888
DISR,10,0.039150000000000004,0.9,4,0.4130067527294159
DISR,10,0.039150000000000004,0.9,6,0.4130067527294159
DISR,10,0.039150000000000004,0.9,8,0.4130067527294159
DISR,10,0.039150000000000004,0.9,10,0.4130067527294159
Fisher,10,0.04875000000000001,0.0,32,0.7260135412216187
Fisher,10,0.04875000000000001,0.2,32,0.7260135412216187
Fisher,10,0.04875000000000001,0.2,4,0.7260135412216187
Fisher,10,0.04875000000000001,0.2,6,0.7260135412216187
Fisher,10,0.04875000000000001,0.2,8,0.7260135412216187
Fisher,10,0.04875000000000001,0.2,10,0.7260135412216187
Fisher,10,0.04875000000000001,0.5,32,0.7260135412216187
Fisher,10,0.04875000000000001,0.5,4,0.7260135412216187
Fisher,10,0.04875000000000001,0.5,6,0.7260135412216187
Fisher,10,0.04875000000000001,0.5,8,0.7260135412216187
Fisher,10,0.04875000000000001,0.5,10,0.7260135412216187
Fisher,10,0.04875000000000001,0.9,32,0.7260135412216187
Fisher,10,0.04875000000000001,0.9,4,0.4130067527294159
Fisher,10,0.04875000000000001,0.9,6,0.4130067527294159
Fisher,10,0.04875000000000001,0.9,8,0.4130067527294159
Fisher,10,0.04875000000000001,0.9,10,0.4130067527294159
JMI,10,0.041350000000000005,0.0,32,0.41317567229270935
JMI,10,0.041350000000000005,0.2,32,0.41317567229270935
JMI,10,0.041350000000000005,0.2,4,0.4141891896724701
JMI,10,0.041350000000000005,0.2,6,0.41317567229270935
JMI,10,0.041350000000000005,0.2,8,0.41317567229270935
JMI,10,0.041350000000000005,0.2,10,0.41317567229270935
JMI,10,0.041350000000000005,0.5,32,0.4141891896724701
JMI,10,0.041350000000000005,0.5,4,0.5302364826202393
JMI,10,0.041350000000000005,0.5,6,0.5302364826202393
JMI,10,0.041350000000000005,0.5,8,0.5302364826202393
JMI,10,0.041350000000000005,0.5,10,0.5302364826202393
JMI,10,0.041350000000000005,0.9,32,0.41317567229270935
JMI,10,0.041350000000000005,0.9,4,0.4130067527294159
JMI,10,0.041350000000000005,0.9,6,0.4130067527294159
JMI,10,0.041350000000000005,0.9,8,0.4130067527294159
JMI,10,0.041350000000000005,0.9,10,0.4130067527294159
DISR,15,0.058700000000000016,0.0,32,0.6094594597816467
DISR,15,0.058700000000000016,0.2,32,0.6099662184715271
DISR,15,0.058700000000000016,0.2,4,0.6096283793449402
DISR,15,0.058700000000000016,0.2,6,0.6104729771614075
DISR,15,0.058700000000000016,0.2,8,0.6104729771614075
DISR,15,0.058700000000000016,0.2,10,0.6104729771614075
DISR,15,0.058700000000000016,0.5,32,0.7008445858955383
DISR,15,0.058700000000000016,0.5,4,0.5373311042785645
DISR,15,0.058700000000000016,0.5,6,0.5373311042785645
DISR,15,0.058700000000000016,0.5,8,0.5373311042785645
DISR,15,0.058700000000000016,0.5,10,0.5373311042785645
DISR,15,0.058700000000000016,0.9,32,0.7013513445854187
DISR,15,0.058700000000000016,0.9,4,0.5868242979049683
DISR,15,0.058700000000000016,0.9,6,0.5369932651519775
DISR,15,0.058700000000000016,0.9,8,0.5369932651519775
DISR,15,0.058700000000000016,0.9,10,0.5369932651519775
Fisher,15,0.06095000000000002,0.0,32,0.551858127117157
Fisher,15,0.06095000000000002,0.2,32,0.6418918967247009
Fisher,15,0.06095000000000002,0.2,4,0.5461148619651794
Fisher,15,0.06095000000000002,0.2,6,0.5461148619651794
Fisher,15,0.06095000000000002,0.2,8,0.5461148619651794
Fisher,15,0.06095000000000002,0.2,10,0.5461148619651794
Fisher,15,0.06095000000000002,0.5,32,0.6761824488639832
Fisher,15,0.06095000000000002,0.5,4,0.5300675630569458
Fisher,15,0.06095000000000002,0.5,6,0.5297297239303589
Fisher,15,0.06095000000000002,0.5,8,0.5297297239303589
Fisher,15,0.06095000000000002,0.5,10,0.5297297239303589
Fisher,15,0.06095000000000002,0.9,32,0.6947635412216187
Fisher,15,0.06095000000000002,0.9,4,0.6957769989967346
Fisher,15,0.06095000000000002,0.9,6,0.6319257020950317
Fisher,15,0.06095000000000002,0.9,8,0.6319257020950317
Fisher,15,0.06095000000000002,0.9,10,0.6319257020950317
JMI,15,0.05945000000000002,0.0,32,0.5378378629684448
JMI,15,0.05945000000000002,0.2,32,0.5378378629684448
JMI,15,0.05945000000000002,0.2,4,0.5521959662437439
JMI,15,0.05945000000000002,0.2,6,0.39172297716140747
JMI,15,0.05945000000000002,0.2,8,0.39172297716140747
JMI,15,0.05945000000000002,0.2,10,0.39172297716140747
JMI,15,0.05945000000000002,0.5,32,0.5383446216583252
JMI,15,0.05945000000000002,0.5,4,0.4130067527294159
JMI,15,0.05945000000000002,0.5,6,0.4130067527294159
JMI,15,0.05945000000000002,0.5,8,0.4130067527294159
JMI,15,0.05945000000000002,0.5,10,0.4130067527294159
JMI,15,0.05945000000000002,0.9,32,0.5376689434051514
JMI,15,0.05945000000000002,0.9,4,0.5376689434051514
JMI,15,0.05945000000000002,0.9,6,0.5375000238418579
JMI,15,0.05945000000000002,0.9,8,0.5375000238418579
JMI,15,0.05945000000000002,0.9,10,0.5375000238418579
DISR,20,0.07604999999999999,0.0,32,0.5398648381233215
DISR,20,0.07604999999999999,0.2,32,0.5770270228385925
DISR,20,0.07604999999999999,0.2,4,0.724662184715271
DISR,20,0.07604999999999999,0.2,6,0.7248311042785645
DISR,20,0.07604999999999999,0.2,8,0.7248311042785645
DISR,20,0.07604999999999999,0.2,10,0.7248311042785645
DISR,20,0.07604999999999999,0.5,32,0.7011824250221252
DISR,20,0.07604999999999999,0.5,4,0.5905405282974243
DISR,20,0.07604999999999999,0.5,6,0.5898648500442505
DISR,20,0.07604999999999999,0.5,8,0.5898648500442505
DISR,20,0.07604999999999999,0.5,10,0.5898648500442505
DISR,20,0.07604999999999999,0.9,32,0.7008445858955383
