fs_method,num_features,total_cost,sparsity,precision,accuracy
DISR,5,0.0,0.0,32,0.72685307264328
DISR,5,0.0,0.2,32,0.7227613925933838
DISR,5,0.0,0.2,4,0.7257514595985413
DISR,5,0.0,0.2,6,0.7147353291511536
DISR,5,0.0,0.2,8,0.7147353291511536
DISR,5,0.0,0.2,10,0.7147353291511536
DISR,5,0.0,0.5,32,0.7133190035820007
DISR,5,0.0,0.5,4,0.5803913474082947
DISR,5,0.0,0.5,6,0.5941876769065857
DISR,5,0.0,0.5,8,0.5941876769065857
DISR,5,0.0,0.5,10,0.5941876769065857
DISR,5,0.0,0.9,32,0.6846246719360352
DISR,5,0.0,0.9,4,0.7045060992240906
DISR,5,0.0,0.9,6,0.7045585513114929
DISR,5,0.0,0.9,8,0.7045585513114929
DISR,5,0.0,0.9,10,0.7045585513114929
Fisher,5,0.0,0.0,32,0.3411320447921753
Fisher,5,0.0,0.2,32,0.3411320447921753
Fisher,5,0.0,0.2,4,0.3411320447921753
Fisher,5,0.0,0.2,6,0.3411320447921753
Fisher,5,0.0,0.2,8,0.3411320447921753
Fisher,5,0.0,0.2,10,0.3411320447921753
Fisher,5,0.0,0.5,32,0.3411320447921753
Fisher,5,0.0,0.5,4,0.3411320447921753
Fisher,5,0.0,0.5,6,0.3411320447921753
Fisher,5,0.0,0.5,8,0.3411320447921753
Fisher,5,0.0,0.5,10,0.3411320447921753
Fisher,5,0.0,0.9,32,0.3411320447921753
Fisher,5,0.0,0.9,4,0.3411320447921753
Fisher,5,0.0,0.9,6,0.3411320447921753
Fisher,5,0.0,0.9,8,0.3411320447921753
Fisher,5,0.0,0.9,10,0.3411320447921753
JMI,5,0.0,0.0,32,0.7867334485054016
JMI,5,0.0,0.2,32,0.7882809638977051
JMI,5,0.0,0.2,4,0.7430100440979004
JMI,5,0.0,0.2,6,0.7450820803642273
JMI,5,0.0,0.2,8,0.7450820803642273
JMI,5,0.0,0.2,10,0.7450820803642273
JMI,5,0.0,0.5,32,0.7875728011131287
JMI,5,0.0,0.5,4,0.7990085482597351
JMI,5,0.0,0.5,6,0.7896186113357544
JMI,5,0.0,0.5,8,0.7896186113357544
JMI,5,0.0,0.5,10,0.7896186113357544
JMI,5,0.0,0.9,32,0.7191417813301086
JMI,5,0.0,0.9,4,0.7026963233947754
JMI,5,0.0,0.9,6,0.7332004308700562
JMI,5,0.0,0.9,8,0.7332004308700562
JMI,5,0.0,0.9,10,0.7332004308700562
DISR,10,0.0,0.0,32,0.8221423625946045
DISR,10,0.0,0.2,32,0.8071394562721252
DISR,10,0.0,0.2,4,0.8004773855209351
DISR,10,0.0,0.2,6,0.800765872001648
DISR,10,0.0,0.2,8,0.800765872001648
DISR,10,0.0,0.2,10,0.800765872001648
DISR,10,0.0,0.5,32,0.788123607635498
DISR,10,0.0,0.5,4,0.7921366095542908
DISR,10,0.0,0.5,6,0.7919530272483826
DISR,10,0.0,0.5,8,0.7919530272483826
DISR,10,0.0,0.5,10,0.7919530272483826
DISR,10,0.0,0.9,32,0.7594030499458313
DISR,10,0.0,0.9,4,0.7072863578796387
DISR,10,0.0,0.9,6,0.7047159671783447
