fs_method,num_features,total_cost,sparsity,precision,accuracy
DISR,5,0.01735,0.0,32,0.8322142362594604
DISR,5,0.01735,0.2,32,0.8393747210502625
DISR,5,0.01735,0.2,4,0.8359649777412415
DISR,5,0.01735,0.2,6,0.8358862996101379
DISR,5,0.01735,0.2,8,0.8358862996101379
DISR,5,0.01735,0.2,10,0.8358862996101379
DISR,5,0.01735,0.5,32,0.8329223990440369
DISR,5,0.01735,0.5,4,0.8323191404342651
DISR,5,0.01735,0.5,6,0.8325027823448181
DISR,5,0.01735,0.5,8,0.8325027823448181
DISR,5,0.01735,0.5,10,0.8325027823448181
DISR,5,0.01735,0.9,32,0.72685307264328
DISR,5,0.01735,0.9,4,0.7286890745162964
DISR,5,0.01735,0.9,6,0.7286890745162964
DISR,5,0.01735,0.9,8,0.7286890745162964
DISR,5,0.01735,0.9,10,0.7286890745162964
Fisher,5,0.02475,0.0,32,0.3411320447921753
Fisher,5,0.02475,0.2,32,0.3411320447921753
Fisher,5,0.02475,0.2,4,0.3411320447921753
Fisher,5,0.02475,0.2,6,0.3411320447921753
Fisher,5,0.02475,0.2,8,0.3411320447921753
Fisher,5,0.02475,0.2,10,0.3411320447921753
Fisher,5,0.02475,0.5,32,0.3411320447921753
Fisher,5,0.02475,0.5,4,0.3411320447921753
Fisher,5,0.02475,0.5,6,0.3411320447921753
Fisher,5,0.02475,0.5,8,0.3411320447921753
Fisher,5,0.02475,0.5,10,0.3411320447921753
Fisher,5,0.02475,0.9,32,0.3411320447921753
Fisher,5,0.02475,0.9,4,0.3411320447921753
Fisher,5,0.02475,0.9,6,0.3411320447921753
Fisher,5,0.02475,0.9,8,0.3411320447921753
Fisher,5,0.02475,0.9,10,0.3411320447921753
JMI,5,0.01955,0.0,32,0.8320831060409546
JMI,5,0.01955,0.2,32,0.8322142362594604
JMI,5,0.01955,0.2,4,0.7919792532920837
JMI,5,0.01955,0.2,6,0.7919792532920837
JMI,5,0.01955,0.2,8,0.7919792532920837
JMI,5,0.01955,0.2,10,0.7919792532920837
JMI,5,0.01955,0.5,32,0.7937628030776978
JMI,5,0.01955,0.5,4,0.7017520666122437
JMI,5,0.01955,0.5,6,0.7104076147079468
JMI,5,0.01955,0.5,8,0.7104076147079468
JMI,5,0.01955,0.5,10,0.7104076147079468
JMI,5,0.01955,0.9,32,0.723102331161499
JMI,5,0.01955,0.9,4,0.6493993401527405
JMI,5,0.01955,0.9,6,0.4830824136734009
JMI,5,0.01955,0.9,8,0.4830824136734009
JMI,5,0.01955,0.9,10,0.4830824136734009
DISR,10,0.03765,0.0,32,0.8157163262367249
DISR,10,0.03765,0.2,32,0.7936316132545471
DISR,10,0.03765,0.2,4,0.8414992690086365
DISR,10,0.03765,0.2,6,0.841735303401947
DISR,10,0.03765,0.2,8,0.841735303401947
DISR,10,0.03765,0.2,10,0.841735303401947
DISR,10,0.03765,0.5,32,0.7779206037521362
DISR,10,0.03765,0.5,4,0.741960883140564
DISR,10,0.03765,0.5,6,0.7423542737960815
DISR,10,0.03765,0.5,8,0.7423542737960815
DISR,10,0.03765,0.5,10,0.7423542737960815
DISR,10,0.03765,0.9,32,0.7428788542747498
DISR,10,0.03765,0.9,4,0.7580653429031372
DISR,10,0.03765,0.9,6,0.716282844543457
DISR,10,0.03765,0.9,8,0.716282844543457
DISR,10,0.03765,0.9,10,0.758380115032196
Fisher,10,0.042100000000000005,0.0,32,0.794287383556366
Fisher,10,0.042100000000000005,0.2,32,0.7937103509902954
Fisher,10,0.042100000000000005,0.2,4,0.7937103509902954
Fisher,10,0.042100000000000005,0.2,6,0.7937103509902954
Fisher,10,0.042100000000000005,0.2,8,0.7937103509902954
Fisher,10,0.042100000000000005,0.2,10,0.7937103509902954
Fisher,10,0.042100000000000005,0.5,32,0.7902743816375732
Fisher,10,0.042100000000000005,0.5,4,0.6942506432533264
Fisher,10,0.042100000000000005,0.5,6,0.6942506432533264
Fisher,10,0.042100000000000005,0.5,8,0.6942506432533264
Fisher,10,0.042100000000000005,0.5,10,0.6942506432533264
Fisher,10,0.042100000000000005,0.9,32,0.7581440210342407
Fisher,10,0.042100000000000005,0.9,4,0.5977286100387573
Fisher,10,0.042100000000000005,0.9,6,0.5858206748962402
Fisher,10,0.042100000000000005,0.9,8,0.5858206748962402
Fisher,10,0.042100000000000005,0.9,10,0.5858206748962402
JMI,10,0.040600000000000004,0.0,32,0.8241357803344727
JMI,10,0.040600000000000004,0.2,32,0.8243980407714844
JMI,10,0.040600000000000004,0.2,4,0.8091853260993958
JMI,10,0.040600000000000004,0.2,6,0.7756386995315552
JMI,10,0.040600000000000004,0.2,8,0.7756386995315552
JMI,10,0.040600000000000004,0.2,10,0.7756386995315552
JMI,10,0.040600000000000004,0.5,32,0.820437490940094
JMI,10,0.040600000000000004,0.5,4,0.690132737159729
JMI,10,0.040600000000000004,0.5,6,0.6728741526603699
JMI,10,0.040600000000000004,0.5,8,0.6728741526603699
JMI,10,0.040600000000000004,0.5,10,0.6728741526603699
JMI,10,0.040600000000000004,0.9,32,0.7474689483642578
JMI,10,0.040600000000000004,0.9,4,0.7191155552864075
JMI,10,0.040600000000000004,0.9,6,0.7204532623291016
JMI,10,0.040600000000000004,0.9,8,0.7204532623291016
JMI,10,0.040600000000000004,0.9,10,0.7204532623291016
DISR,15,0.055750000000000015,0.0,32,0.8341551423072815
DISR,15,0.055750000000000015,0.2,32,0.7995331287384033
DISR,15,0.055750000000000015,0.2,4,0.7975659370422363
DISR,15,0.055750000000000015,0.2,6,0.7588260173797607
DISR,15,0.055750000000000015,0.2,8,0.7588260173797607
DISR,15,0.055750000000000015,0.2,10,0.7588522434234619
DISR,15,0.055750000000000015,0.5,32,0.7961496114730835
DISR,15,0.055750000000000015,0.5,4,0.609846293926239
DISR,15,0.055750000000000015,0.5,6,0.598777711391449
DISR,15,0.055750000000000015,0.5,8,0.598777711391449
DISR,15,0.055750000000000015,0.5,10,0.5988564491271973
DISR,15,0.055750000000000015,0.9,32,0.731049656867981
DISR,15,0.055750000000000015,0.9,4,0.6983423233032227
DISR,15,0.055750000000000015,0.9,6,0.7037192583084106
DISR,15,0.055750000000000015,0.9,8,0.7037192583084106
DISR,15,0.055750000000000015,0.9,10,0.7036930322647095
Fisher,15,0.054300000000000015,0.0,32,0.7742747664451599
Fisher,15,0.054300000000000015,0.2,32,0.7701830863952637
Fisher,15,0.054300000000000015,0.2,4,0.7951791286468506
Fisher,15,0.054300000000000015,0.2,6,0.8053296804428101
Fisher,15,0.054300000000000015,0.2,8,0.8053296804428101
Fisher,15,0.054300000000000015,0.2,10,0.8053296804428101
Fisher,15,0.054300000000000015,0.5,32,0.7692650556564331
Fisher,15,0.054300000000000015,0.5,4,0.733829915523529
