fs_method,num_features,total_cost,sparsity,precision,accuracy
DISR,5,0.0,0.0,32,0.6648044586181641
DISR,5,0.0,0.2,32,0.6648044586181641
DISR,5,0.0,0.2,4,0.6648044586181641
DISR,5,0.0,0.2,6,0.6648044586181641
DISR,5,0.0,0.2,8,0.6648044586181641
DISR,5,0.0,0.2,10,0.6648044586181641
DISR,5,0.0,0.5,32,0.6648044586181641
DISR,5,0.0,0.5,4,0.6648044586181641
DISR,5,0.0,0.5,6,0.6648044586181641
DISR,5,0.0,0.5,8,0.6648044586181641
DISR,5,0.0,0.5,10,0.6648044586181641
DISR,5,0.0,0.9,32,0.6648044586181641
DISR,5,0.0,0.9,4,0.6648044586181641
DISR,5,0.0,0.9,6,0.6648044586181641
DISR,5,0.0,0.9,8,0.6648044586181641
DISR,5,0.0,0.9,10,0.6648044586181641
Fisher,5,0.0,0.0,32,0.6648044586181641
Fisher,5,0.0,0.2,32,0.6648044586181641
Fisher,5,0.0,0.2,4,0.6648044586181641
Fisher,5,0.0,0.2,6,0.6648044586181641
Fisher,5,0.0,0.2,8,0.6648044586181641
Fisher,5,0.0,0.2,10,0.6648044586181641
Fisher,5,0.0,0.5,32,0.6648044586181641
Fisher,5,0.0,0.5,4,0.6648044586181641
Fisher,5,0.0,0.5,6,0.6648044586181641
Fisher,5,0.0,0.5,8,0.6648044586181641
Fisher,5,0.0,0.5,10,0.6648044586181641
Fisher,5,0.0,0.9,32,0.6648044586181641
Fisher,5,0.0,0.9,4,0.6648044586181641
Fisher,5,0.0,0.9,6,0.6648044586181641
Fisher,5,0.0,0.9,8,0.6648044586181641
Fisher,5,0.0,0.9,10,0.6648044586181641
JMI,5,0.0,0.0,32,0.6648044586181641
JMI,5,0.0,0.2,32,0.6648044586181641
JMI,5,0.0,0.2,4,0.6648044586181641
JMI,5,0.0,0.2,6,0.6648044586181641
JMI,5,0.0,0.2,8,0.6648044586181641
JMI,5,0.0,0.2,10,0.6648044586181641
JMI,5,0.0,0.5,32,0.6648044586181641
JMI,5,0.0,0.5,4,0.6648044586181641
JMI,5,0.0,0.5,6,0.6648044586181641
JMI,5,0.0,0.5,8,0.6648044586181641
JMI,5,0.0,0.5,10,0.6648044586181641
JMI,5,0.0,0.9,32,0.6648044586181641
