fs_method,num_features,total_cost,sparsity,precision,accuracy
DISR,5,0.015149999999999999,0.0,32,0.659217894077301
DISR,5,0.015149999999999999,0.2,32,0.6564245820045471
DISR,5,0.015149999999999999,0.2,4,0.6648044586181641
DISR,5,0.015149999999999999,0.2,6,0.6648044586181641
DISR,5,0.015149999999999999,0.2,8,0.6648044586181641
DISR,5,0.015149999999999999,0.2,10,0.6648044586181641
DISR,5,0.015149999999999999,0.5,32,0.6620111465454102
DISR,5,0.015149999999999999,0.5,4,0.6620111465454102
DISR,5,0.015149999999999999,0.5,6,0.6564245820045471
DISR,5,0.015149999999999999,0.5,8,0.6564245820045471
DISR,5,0.015149999999999999,0.5,10,0.6564245820045471
DISR,5,0.015149999999999999,0.9,32,0.6648044586181641
DISR,5,0.015149999999999999,0.9,4,0.6648044586181641
DISR,5,0.015149999999999999,0.9,6,0.6648044586181641
DISR,5,0.015149999999999999,0.9,8,0.6648044586181641
DISR,5,0.015149999999999999,0.9,10,0.6648044586181641
Fisher,5,0.02475,0.0,32,0.6648044586181641
Fisher,5,0.02475,0.2,32,0.6648044586181641
Fisher,5,0.02475,0.2,4,0.6648044586181641
Fisher,5,0.02475,0.2,6,0.6648044586181641
Fisher,5,0.02475,0.2,8,0.6648044586181641
Fisher,5,0.02475,0.2,10,0.6648044586181641
Fisher,5,0.02475,0.5,32,0.6648044586181641
Fisher,5,0.02475,0.5,4,0.6648044586181641
Fisher,5,0.02475,0.5,6,0.6648044586181641
Fisher,5,0.02475,0.5,8,0.6648044586181641
Fisher,5,0.02475,0.5,10,0.6648044586181641
Fisher,5,0.02475,0.9,32,0.6648044586181641
Fisher,5,0.02475,0.9,4,0.6648044586181641
Fisher,5,0.02475,0.9,6,0.6648044586181641
Fisher,5,0.02475,0.9,8,0.6648044586181641
Fisher,5,0.02475,0.9,10,0.6648044586181641
JMI,5,0.017349999999999997,0.0,32,0.6620111465454102
JMI,5,0.017349999999999997,0.2,32,0.6620111465454102
JMI,5,0.017349999999999997,0.2,4,0.6648044586181641
JMI,5,0.017349999999999997,0.2,6,0.6648044586181641
JMI,5,0.017349999999999997,0.2,8,0.6648044586181641
JMI,5,0.017349999999999997,0.2,10,0.6648044586181641
JMI,5,0.017349999999999997,0.5,32,0.6620111465454102
JMI,5,0.017349999999999997,0.5,4,0.6648044586181641
JMI,5,0.017349999999999997,0.5,6,0.6648044586181641
JMI,5,0.017349999999999997,0.5,8,0.6648044586181641
JMI,5,0.017349999999999997,0.5,10,0.6648044586181641
JMI,5,0.017349999999999997,0.9,32,0.6648044586181641
JMI,5,0.017349999999999997,0.9,4,0.6648044586181641
JMI,5,0.017349999999999997,0.9,6,0.6648044586181641
JMI,5,0.017349999999999997,0.9,8,0.6648044586181641
JMI,5,0.017349999999999997,0.9,10,0.6648044586181641
DISR,10,0.03175,0.0,32,0.6480447053909302
DISR,10,0.03175,0.2,32,0.6564245820045471
DISR,10,0.03175,0.2,4,0.6508380174636841
DISR,10,0.03175,0.2,6,0.6480447053909302
DISR,10,0.03175,0.2,8,0.6480447053909302
DISR,10,0.03175,0.2,10,0.6480447053909302
DISR,10,0.03175,0.5,32,0.6648044586181641
DISR,10,0.03175,0.5,4,0.6648044586181641
DISR,10,0.03175,0.5,6,0.6648044586181641
DISR,10,0.03175,0.5,8,0.6648044586181641
DISR,10,0.03175,0.5,10,0.6648044586181641
DISR,10,0.03175,0.9,32,0.6648044586181641
DISR,10,0.03175,0.9,4,0.659217894077301
DISR,10,0.03175,0.9,6,0.6620111465454102
DISR,10,0.03175,0.9,8,0.6620111465454102
DISR,10,0.03175,0.9,10,0.6620111465454102
Fisher,10,0.039900000000000005,0.0,32,0.6703910827636719
Fisher,10,0.039900000000000005,0.2,32,0.6648044586181641
Fisher,10,0.039900000000000005,0.2,4,0.6648044586181641
Fisher,10,0.039900000000000005,0.2,6,0.6648044586181641
Fisher,10,0.039900000000000005,0.2,8,0.6648044586181641
Fisher,10,0.039900000000000005,0.2,10,0.6648044586181641
Fisher,10,0.039900000000000005,0.5,32,0.673184335231781
Fisher,10,0.039900000000000005,0.5,4,0.6508380174636841
Fisher,10,0.039900000000000005,0.5,6,0.6452513933181763
Fisher,10,0.039900000000000005,0.5,8,0.6452513933181763
Fisher,10,0.039900000000000005,0.5,10,0.6452513933181763
Fisher,10,0.039900000000000005,0.9,32,0.6703910827636719
Fisher,10,0.039900000000000005,0.9,4,0.6284916400909424
Fisher,10,0.039900000000000005,0.9,6,0.6424580812454224
Fisher,10,0.039900000000000005,0.9,8,0.6424580812454224
Fisher,10,0.039900000000000005,0.9,10,0.6424580812454224
JMI,10,0.03545,0.0,32,0.659217894077301
JMI,10,0.03545,0.2,32,0.6620111465454102
JMI,10,0.03545,0.2,4,0.6620111465454102
JMI,10,0.03545,0.2,6,0.6620111465454102
JMI,10,0.03545,0.2,8,0.6620111465454102
JMI,10,0.03545,0.2,10,0.6620111465454102
JMI,10,0.03545,0.5,32,0.6536312699317932
JMI,10,0.03545,0.5,4,0.6396648287773132
JMI,10,0.03545,0.5,6,0.6312848925590515
JMI,10,0.03545,0.5,8,0.6312848925590515
JMI,10,0.03545,0.5,10,0.6312848925590515
JMI,10,0.03545,0.9,32,0.6648044586181641
JMI,10,0.03545,0.9,4,0.6648044586181641
JMI,10,0.03545,0.9,6,0.6648044586181641
JMI,10,0.03545,0.9,8,0.6648044586181641
JMI,10,0.03545,0.9,10,0.6648044586181641
DISR,15,0.052800000000000014,0.0,32,0.6424580812454224
DISR,15,0.052800000000000014,0.2,32,0.6508380174636841
DISR,15,0.052800000000000014,0.2,4,0.6396648287773132
DISR,15,0.052800000000000014,0.2,6,0.6368715167045593
DISR,15,0.052800000000000014,0.2,8,0.6368715167045593
DISR,15,0.052800000000000014,0.2,10,0.6368715167045593
DISR,15,0.052800000000000014,0.5,32,0.6648044586181641
DISR,15,0.052800000000000014,0.5,4,0.6089385747909546
DISR,15,0.052800000000000014,0.5,6,0.575419008731842
DISR,15,0.052800000000000014,0.5,8,0.575419008731842
DISR,15,0.052800000000000014,0.5,10,0.575419008731842
DISR,15,0.052800000000000014,0.9,32,0.6648044586181641
DISR,15,0.052800000000000014,0.9,4,0.6564245820045471
DISR,15,0.052800000000000014,0.9,6,0.659217894077301
DISR,15,0.052800000000000014,0.9,8,0.659217894077301
DISR,15,0.052800000000000014,0.9,10,0.659217894077301
Fisher,15,0.056500000000000015,0.0,32,0.6564245820045471
Fisher,15,0.056500000000000015,0.2,32,0.6536312699317932
Fisher,15,0.056500000000000015,0.2,4,0.6620111465454102
Fisher,15,0.056500000000000015,0.2,6,0.6564245820045471
Fisher,15,0.056500000000000015,0.2,8,0.6564245820045471
Fisher,15,0.056500000000000015,0.2,10,0.6564245820045471
Fisher,15,0.056500000000000015,0.5,32,0.667597770690918
Fisher,15,0.056500000000000015,0.5,4,0.6648044586181641
Fisher,15,0.056500000000000015,0.5,6,0.6648044586181641
Fisher,15,0.056500000000000015,0.5,8,0.6648044586181641
Fisher,15,0.056500000000000015,0.5,10,0.6648044586181641
Fisher,15,0.056500000000000015,0.9,32,0.6703910827636719
Fisher,15,0.056500000000000015,0.9,4,0.6620111465454102
Fisher,15,0.056500000000000015,0.9,6,0.6564245820045471
