fs_method,num_features,total_cost,sparsity,precision,accuracy
DISR,5,0.0,0.0,32,0.5398305654525757
DISR,5,0.0,0.2,32,0.5389756560325623
DISR,5,0.0,0.2,4,0.5354006290435791
DISR,5,0.0,0.2,6,0.5112302899360657
DISR,5,0.0,0.2,8,0.5112302899360657
DISR,5,0.0,0.2,10,0.5112302899360657
DISR,5,0.0,0.5,32,0.5465920567512512
DISR,5,0.0,0.5,4,0.5176031589508057
DISR,5,0.0,0.5,6,0.5257635712623596
DISR,5,0.0,0.5,8,0.5257635712623596
DISR,5,0.0,0.5,10,0.5257635712623596
DISR,5,0.0,0.9,32,0.5277065634727478
DISR,5,0.0,0.9,4,0.5304266810417175
DISR,5,0.0,0.9,6,0.5304266810417175
DISR,5,0.0,0.9,8,0.5304266810417175
DISR,5,0.0,0.9,10,0.5304266810417175
Fisher,5,0.0,0.0,32,0.5317478775978088
Fisher,5,0.0,0.2,32,0.5317478775978088
Fisher,5,0.0,0.2,4,0.5317478775978088
Fisher,5,0.0,0.2,6,0.5317478775978088
Fisher,5,0.0,0.2,8,0.5317478775978088
Fisher,5,0.0,0.2,10,0.5317478775978088
Fisher,5,0.0,0.5,32,0.5317478775978088
Fisher,5,0.0,0.5,4,0.5317478775978088
Fisher,5,0.0,0.5,6,0.5317478775978088
Fisher,5,0.0,0.5,8,0.5317478775978088
Fisher,5,0.0,0.5,10,0.5317478775978088
Fisher,5,0.0,0.9,32,0.5317478775978088
Fisher,5,0.0,0.9,4,0.5317478775978088
Fisher,5,0.0,0.9,6,0.5317478775978088
Fisher,5,0.0,0.9,8,0.5317478775978088
Fisher,5,0.0,0.9,10,0.5317478775978088
JMI,5,0.0,0.0,32,0.5285614132881165
JMI,5,0.0,0.2,32,0.509131908416748
JMI,5,0.0,0.2,4,0.5101422071456909
JMI,5,0.0,0.2,6,0.510219931602478
JMI,5,0.0,0.2,8,0.510219931602478
JMI,5,0.0,0.2,10,0.510219931602478
JMI,5,0.0,0.5,32,0.509131908416748
JMI,5,0.0,0.5,4,0.5303489565849304
JMI,5,0.0,0.5,6,0.5285614132881165
JMI,5,0.0,0.5,8,0.5285614132881165
JMI,5,0.0,0.5,10,0.5285614132881165
JMI,5,0.0,0.9,32,0.528406023979187
JMI,5,0.0,0.9,4,0.5296494960784912
JMI,5,0.0,0.9,6,0.5296494960784912
JMI,5,0.0,0.9,8,0.5296494960784912
JMI,5,0.0,0.9,10,0.5296494960784912
DISR,10,0.0,0.0,32,0.4834071695804596
DISR,10,0.0,0.2,32,0.49747416377067566
DISR,10,0.0,0.2,4,0.5064894556999207
DISR,10,0.0,0.2,6,0.5007383227348328
DISR,10,0.0,0.2,8,0.5007383227348328
DISR,10,0.0,0.2,10,0.5007383227348328
DISR,10,0.0,0.5,32,0.4885365664958954
DISR,10,0.0,0.5,4,0.395119309425354
DISR,10,0.0,0.5,6,0.40840911865234375
DISR,10,0.0,0.5,8,0.40840911865234375
DISR,10,0.0,0.5,10,0.40840911865234375
DISR,10,0.0,0.9,32,0.5246755480766296
DISR,10,0.0,0.9,4,0.5292608737945557
DISR,10,0.0,0.9,6,0.5292608737945557
DISR,10,0.0,0.9,8,0.5292608737945557
DISR,10,0.0,0.9,10,0.5292608737945557
Fisher,10,0.0,0.0,32,0.5317478775978088
Fisher,10,0.0,0.2,32,0.5317478775978088
Fisher,10,0.0,0.2,4,0.5317478775978088
Fisher,10,0.0,0.2,6,0.5317478775978088
Fisher,10,0.0,0.2,8,0.5317478775978088
Fisher,10,0.0,0.2,10,0.5317478775978088
Fisher,10,0.0,0.5,32,0.5317478775978088
Fisher,10,0.0,0.5,4,0.5317478775978088
Fisher,10,0.0,0.5,6,0.5317478775978088
Fisher,10,0.0,0.5,8,0.5317478775978088
Fisher,10,0.0,0.5,10,0.5317478775978088
Fisher,10,0.0,0.9,32,0.5317478775978088
Fisher,10,0.0,0.9,4,0.5317478775978088
Fisher,10,0.0,0.9,6,0.5317478775978088
Fisher,10,0.0,0.9,8,0.5317478775978088
Fisher,10,0.0,0.9,10,0.5317478775978088
JMI,10,0.0,0.0,32,0.4924224615097046
JMI,10,0.0,0.2,32,0.4937436878681183
JMI,10,0.0,0.2,4,0.5078883767127991
JMI,10,0.0,0.2,6,0.49016866087913513
JMI,10,0.0,0.2,8,0.49016866087913513
JMI,10,0.0,0.2,10,0.4904018044471741
JMI,10,0.0,0.5,32,0.5134841203689575
JMI,10,0.0,0.5,4,0.4575270116329193
JMI,10,0.0,0.5,6,0.47851091623306274
JMI,10,0.0,0.5,8,0.47851091623306274
JMI,10,0.0,0.5,10,0.47913265228271484
JMI,10,0.0,0.9,32,0.513095498085022
JMI,10,0.0,0.9,4,0.5277842283248901
