fs_method,num_features,total_cost,sparsity,precision,accuracy
DISR,5,0.0203,0.0,32,0.5278619527816772
DISR,5,0.0203,0.2,32,0.5279396772384644
DISR,5,0.0203,0.2,4,0.5098313689231873
DISR,5,0.0203,0.2,6,0.5098313689231873
DISR,5,0.0203,0.2,8,0.5098313689231873
DISR,5,0.0203,0.2,10,0.5098313689231873
DISR,5,0.0203,0.5,32,0.5101422071456909
DISR,5,0.0203,0.5,4,0.5287168622016907
DISR,5,0.0203,0.5,6,0.5287168622016907
DISR,5,0.0203,0.5,8,0.5287168622016907
DISR,5,0.0203,0.5,10,0.5287168622016907
DISR,5,0.0203,0.9,32,0.534234881401062
DISR,5,0.0203,0.9,4,0.5334576964378357
DISR,5,0.0203,0.9,6,0.5308152437210083
DISR,5,0.0203,0.9,8,0.5308152437210083
DISR,5,0.0203,0.9,10,0.5302712321281433
Fisher,5,0.02475,0.0,32,0.5317478775978088
Fisher,5,0.02475,0.2,32,0.5317478775978088
Fisher,5,0.02475,0.2,4,0.5317478775978088
Fisher,5,0.02475,0.2,6,0.5317478775978088
Fisher,5,0.02475,0.2,8,0.5317478775978088
Fisher,5,0.02475,0.2,10,0.5317478775978088
Fisher,5,0.02475,0.5,32,0.5317478775978088
Fisher,5,0.02475,0.5,4,0.5317478775978088
Fisher,5,0.02475,0.5,6,0.5317478775978088
Fisher,5,0.02475,0.5,8,0.5317478775978088
Fisher,5,0.02475,0.5,10,0.5317478775978088
Fisher,5,0.02475,0.9,32,0.5317478775978088
Fisher,5,0.02475,0.9,4,0.5317478775978088
Fisher,5,0.02475,0.9,6,0.5317478775978088
Fisher,5,0.02475,0.9,8,0.5317478775978088
Fisher,5,0.02475,0.9,10,0.5317478775978088
JMI,5,0.020300000000000002,0.0,32,0.5158933997154236
JMI,5,0.020300000000000002,0.2,32,0.4875262379646301
JMI,5,0.020300000000000002,0.2,4,0.4823191165924072
JMI,5,0.020300000000000002,0.2,6,0.4673194885253906
JMI,5,0.020300000000000002,0.2,8,0.4673194885253906
JMI,5,0.020300000000000002,0.2,10,0.4673194885253906
JMI,5,0.020300000000000002,0.5,32,0.49483174085617065
JMI,5,0.020300000000000002,0.5,4,0.5207118988037109
JMI,5,0.020300000000000002,0.5,6,0.5105308294296265
JMI,5,0.020300000000000002,0.5,8,0.5105308294296265
JMI,5,0.020300000000000002,0.5,10,0.5105308294296265
JMI,5,0.020300000000000002,0.9,32,0.4898577630519867
JMI,5,0.020300000000000002,0.9,4,0.49016866087913513
JMI,5,0.020300000000000002,0.9,6,0.4907126724720001
JMI,5,0.020300000000000002,0.9,8,0.4907126724720001
JMI,5,0.020300000000000002,0.9,10,0.4907126724720001
DISR,10,0.03545,0.0,32,0.575736403465271
DISR,10,0.03545,0.2,32,0.5614362359046936
DISR,10,0.03545,0.2,4,0.5488458871841431
DISR,10,0.03545,0.2,6,0.5500893592834473
DISR,10,0.03545,0.2,8,0.5500893592834473
DISR,10,0.03545,0.2,10,0.5500893592834473
DISR,10,0.03545,0.5,32,0.5957876443862915
DISR,10,0.03545,0.5,4,0.5552964806556702
DISR,10,0.03545,0.5,6,0.5707623958587646
DISR,10,0.03545,0.5,8,0.5707623958587646
DISR,10,0.03545,0.5,10,0.5707623958587646
DISR,10,0.03545,0.9,32,0.6246211528778076
DISR,10,0.03545,0.9,4,0.7054480314254761
DISR,10,0.03545,0.9,6,0.7035828232765198
DISR,10,0.03545,0.9,8,0.7035828232765198
DISR,10,0.03545,0.9,10,0.7034273743629456
Fisher,10,0.04655000000000001,0.0,32,0.6244657039642334
Fisher,10,0.04655000000000001,0.2,32,0.6244657039642334
Fisher,10,0.04655000000000001,0.2,4,0.6272635459899902
Fisher,10,0.04655000000000001,0.2,6,0.6244657039642334
Fisher,10,0.04655000000000001,0.2,8,0.6244657039642334
Fisher,10,0.04655000000000001,0.2,10,0.6244657039642334
Fisher,10,0.04655000000000001,0.5,32,0.6244657039642334
Fisher,10,0.04655000000000001,0.5,4,0.5880935788154602
Fisher,10,0.04655000000000001,0.5,6,0.5727053880691528
Fisher,10,0.04655000000000001,0.5,8,0.5727053880691528
Fisher,10,0.04655000000000001,0.5,10,0.5727053880691528
Fisher,10,0.04655000000000001,0.9,32,0.6244657039642334
Fisher,10,0.04655000000000001,0.9,4,0.5727053880691528
Fisher,10,0.04655000000000001,0.9,6,0.6244657039642334
Fisher,10,0.04655000000000001,0.9,8,0.6244657039642334
Fisher,10,0.04655000000000001,0.9,10,0.6244657039642334
JMI,10,0.0362,0.0,32,0.5040025115013123
JMI,10,0.0362,0.2,32,0.5197015404701233
JMI,10,0.0362,0.2,4,0.4829408526420593
JMI,10,0.0362,0.2,6,0.46693089604377747
JMI,10,0.0362,0.2,8,0.46693089604377747
JMI,10,0.0362,0.2,10,0.4670086205005646
JMI,10,0.0362,0.5,32,0.4840289056301117
JMI,10,0.0362,0.5,4,0.5060231685638428
JMI,10,0.0362,0.5,6,0.5089764595031738
JMI,10,0.0362,0.5,8,0.5089764595031738
JMI,10,0.0362,0.5,10,0.509675920009613
JMI,10,0.0362,0.9,32,0.48558327555656433
JMI,10,0.0362,0.9,4,0.479521244764328
JMI,10,0.0362,0.9,6,0.4775783121585846
JMI,10,0.0362,0.9,8,0.4775783121585846
JMI,10,0.0362,0.9,10,0.4776560068130493
DISR,15,0.053550000000000014,0.0,32,0.5984300971031189
DISR,15,0.053550000000000014,0.2,32,0.5982746481895447
DISR,15,0.053550000000000014,0.2,4,0.594310998916626
DISR,15,0.053550000000000014,0.2,6,0.5930675268173218
DISR,15,0.053550000000000014,0.2,8,0.5930675268173218
DISR,15,0.053550000000000014,0.2,10,0.5929898023605347
DISR,15,0.053550000000000014,0.5,32,0.6232221722602844
DISR,15,0.053550000000000014,0.5,4,0.5028367042541504
DISR,15,0.053550000000000014,0.5,6,0.5054791569709778
DISR,15,0.053550000000000014,0.5,8,0.5054791569709778
DISR,15,0.053550000000000014,0.5,10,0.5056345462799072
DISR,15,0.053550000000000014,0.9,32,0.6170824766159058
DISR,15,0.053550000000000014,0.9,4,0.5935338735580444
